Comment,Designator,Footprint,LCSC,Quantity
10K,R22,R_0603_1608Metric,,1
LED,D3,LED_D3.0mm,,1
10K,R33,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Conn_01x02_Pin,J6,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,,1
2.2u,C5,C_Axial_L17.0mm_D7.0mm_P20.00mm_Horizontal,,1
Conn_01x02_Pin,J7,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,,1
0.1u,C11,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,,1
NMOS_BSS138,Q7,SOT-23,,1
0.1u,C7,C_0603_1608Metric,,1
LED,D1,LED_D3.0mm,,1
1K,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
22K,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
10k,R27,R_0603_1608Metric,,1
0.1u,C6,C_0603_1608Metric,,1
10K,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
NMOS_ MTB7D0N6RJ3,Q1,TO-252-2,,1
NJM5532,U2,DIP-8_W7.62mm,,1
10K,R17,R_0603_1608Metric,,1
100u,C1,CP_Elec_6.3x5.7,,1
~,C14,C_0805_2012Metric,,1
22K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
10k,R24,R_0603_1608Metric,,1
47,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
PMOS_BSS84,Q4,TSOT-23,,1
10k,R30,R_0603_1608Metric,,1
10K,R28,R_0603_1608Metric,,1
10K,R25,R_0603_1608Metric,,1
Connector_RCJ-042,J3,Connector_RCJ-042CUD,,1
10K,R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
100u,C19,CP_Elec_6.3x5.7,,1
10K,R32,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
~,C15,C_0805_2012Metric,,1
MAU108,U1,DCDC_MAUseries,,1
AudioJack3,J5,Jack_3.5mm_Switronic_ST-005-G_horizontal,,1
R_Potentiometer_Dual,RV1,VR_ALPS9-dual,,1
10u,C8,C_0805_2012Metric,,1
27K,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
100u,C18,CP_Elec_6.3x5.7,,1
0.1u,C12,C_0603_1608Metric,,1
~,C17,C_0805_2012Metric,,1
SW_DPDT_x2,SW1,SW_CK_JS202011CQN_DPDT_Straight,,1
0.1u,C13,C_0603_1608Metric,,1
10u,C2,C_0805_2012Metric,,1
Conn_01x02_Pin,J2,Molex_SPOX_5268-02A_1x02_P2.50mm_Horizontal,,1
LED,D2,LED_D3.0mm,,1
100K,R19,R_0603_1608Metric,,1
0.1u,C10,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,,1
NMOS_BSS138,Q3,SOT-23,,1
10K,R18,R_0603_1608Metric,,1
PMOS_MTP4835I3,Q2,TO-252-2,,1
10K,R21,R_0603_1608Metric,,1
2.2K,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
PMOS_MTP4835I3,Q6,TO-252-2,,1
47,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
27K,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
NJM5532,U3,DIP-8_W7.62mm,,1
Connector_RCJ-042,J4,Connector_RCJ-042CUD,,1
10K,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
22,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
PMOS_BSS84,Q5,TSOT-23,,1
0.1u,C3,C_0603_1608Metric,,1
AudioJack3,J1,Jack_3.5mm_Switronic_ST-005-G_horizontal,,1
47,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
2.2K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
10K,R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
100K,R29,R_0603_1608Metric,,1
2.2u,C4,C_Axial_L17.0mm_D7.0mm_P20.00mm_Horizontal,,1
22,R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
100K,R26,R_0603_1608Metric,,1
47,R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
100K,R23,R_0603_1608Metric,,1
10u,C9,C_0805_2012Metric,,1
SW_DPDT_x2,SW2,SW_E-Switch_EG2219_DPDT_Angled,,1
10k,R20,R_0603_1608Metric,,1
~,C16,C_0805_2012Metric,,1
LED,D4,LED_D3.0mm,,1
NMOS_ MTB7D0N6RJ3,Q8,TO-252-2,,1
